<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FEES,D,25/07/12,000000,0.2280600,0.2389900,0.2270000,0.2323000,4471480000
FEES,D,26/07/12,000000,0.2339800,0.2375600,0.2285000,0.2332400,3196680000
FEES,D,27/07/12,000000,0.2351100,0.2372300,0.2341000,0.2358500,1954790000
FEES,D,30/07/12,000000,0.2371000,0.2399000,0.2346100,0.2356600,2137020000
FEES,D,31/07/12,000000,0.2360300,0.2366900,0.2252100,0.2275000,2653160000
FEES,D,01/08/12,000000,0.2260000,0.2285000,0.2240000,0.2265000,2095160000
FEES,D,02/08/12,000000,0.2255300,0.2309900,0.2143800,0.2166200,4269900000
FEES,D,03/08/12,000000,0.2163000,0.2177100,0.2100300,0.2155000,3961140000
FEES,D,06/08/12,000000,0.2174300,0.2230000,0.2163200,0.2222200,3215240000
FEES,D,07/08/12,000000,0.2219400,0.2262300,0.2200000,0.2244800,2392960000
FEES,D,08/08/12,000000,0.2238900,0.2316800,0.2230700,0.2303300,3496340000
FEES,D,09/08/12,000000,0.2316300,0.2367600,0.2280000,0.2320000,2922880000
FEES,D,10/08/12,000000,0.2305200,0.2314500,0.2236300,0.2238200,2664780000
FEES,D,13/08/12,000000,0.2260000,0.2285000,0.2245000,0.2257300,1725020000
FEES,D,14/08/12,000000,0.2261900,0.2288800,0.2257000,0.2276000,1053910000
FEES,D,15/08/12,000000,0.2256500,0.2263900,0.2210000,0.2228200,2015490000
FEES,D,16/08/12,000000,0.2239700,0.2253900,0.2216100,0.2223600,1526860000
FEES,D,17/08/12,000000,0.2238500,0.2265000,0.2210100,0.2216800,1626090000
FEES,D,20/08/12,000000,0.2225800,0.2229700,0.2165400,0.2173100,1577550000
FEES,D,21/08/12,000000,0.2187000,0.2244800,0.2183300,0.2242500,2014390000
FEES,D,22/08/12,000000,0.2220800,0.2232500,0.2203000,0.2215000,1242410000
FEES,D,23/08/12,000000,0.2234000,0.2264700,0.2212900,0.2220000,1681720000
FEES,D,24/08/12,000000,0.2207000,0.2216700,0.2187300,0.2213800,1650320000
FEES,D,27/08/12,000000,0.2220000,0.2229900,0.2161600,0.2163000,2262470000
FEES,D,28/08/12,000000,0.2162600,0.2162600,0.2052000,0.2089800,5065720000
FEES,D,29/08/12,000000,0.2084900,0.2095800,0.2020000,0.2020100,2693920000
FEES,D,30/08/12,000000,0.2010000,0.2017300,0.1960000,0.1982000,3962470000
FEES,D,31/08/12,000000,0.1982100,0.2019200,0.1975500,0.1998800,3031670000
FEES,D,03/09/12,000000,0.1999000,0.2022900,0.1998900,0.2013700,1447950000
FEES,D,04/09/12,000000,0.2023000,0.2029700,0.1990100,0.1998500,1886490000
FEES,D,05/09/12,000000,0.1998500,0.2007800,0.1973300,0.1980000,1585570000
FEES,D,06/09/12,000000,0.1988800,0.2085000,0.1985400,0.2085000,4594880000
FEES,D,07/09/12,000000,0.2091400,0.2198000,0.2082000,0.2160600,7819250000
FEES,D,10/09/12,000000,0.2154000,0.2336000,0.2140100,0.2310700,7437930000
FEES,D,11/09/12,000000,0.2297300,0.2378800,0.2250500,0.2284300,6996360000
FEES,D,12/09/12,000000,0.2286400,0.2332900,0.2252800,0.2256700,3716750000
FEES,D,13/09/12,000000,0.2260000,0.2279100,0.2222000,0.2256200,1905000000
FEES,D,14/09/12,000000,0.2333300,0.2457000,0.2330000,0.2413000,6388580000
FEES,D,17/09/12,000000,0.2398000,0.2448800,0.2377500,0.2409900,3929290000
FEES,D,18/09/12,000000,0.2391600,0.2454500,0.2361500,0.2398800,3157180000
FEES,D,19/09/12,000000,0.2423800,0.2474300,0.2325500,0.2383800,4235190000
FEES,D,20/09/12,000000,0.2375000,0.2376300,0.2301100,0.2329000,2622720000
FEES,D,21/09/12,000000,0.2343700,0.2388200,0.2320000,0.2331000,2079710000
FEES,D,24/09/12,000000,0.2306000,0.2344000,0.2290100,0.2312800,1200240000
FEES,D,25/09/12,000000,0.2319900,0.2377700,0.2315000,0.2350100,2444100000
FEES,D,26/09/12,000000,0.2323000,0.2329600,0.2236000,0.2280000,2855910000
FEES,D,27/09/12,000000,0.2302000,0.2309000,0.2242400,0.2275300,1812600000
FEES,D,28/09/12,000000,0.2300000,0.2342400,0.2293500,0.2323400,3567810000
FEES,D,01/10/12,000000,0.2305600,0.2398300,0.2300000,0.2389400,2546030000
FEES,D,02/10/12,000000,0.2384000,0.2437000,0.2373100,0.2407100,2560580000
FEES,D,03/10/12,000000,0.2400000,0.2413900,0.2352700,0.2377000,2366500000
FEES,D,04/10/12,000000,0.2386600,0.2394300,0.2273100,0.2322200,3516670000
FEES,D,05/10/12,000000,0.2349900,0.2377000,0.2319000,0.2356700,2106740000
FEES,D,08/10/12,000000,0.2345000,0.2405400,0.2296000,0.2399900,2056400000
FEES,D,09/10/12,000000,0.2421900,0.2435000,0.2361200,0.2364800,2134350000
FEES,D,10/10/12,000000,0.2352000,0.2357300,0.2292700,0.2311400,1960640000
FEES,D,11/10/12,000000,0.2296500,0.2368300,0.2281700,0.2344300,1949130000
FEES,D,12/10/12,000000,0.2342700,0.2354300,0.2290000,0.2305700,1670220000
FEES,D,15/10/12,000000,0.2292100,0.2336200,0.2290000,0.2293000,1847330000
FEES,D,16/10/12,000000,0.2323700,0.2357900,0.2285000,0.2335000,3142710000
FEES,D,17/10/12,000000,0.2335900,0.2376900,0.2324000,0.2354000,2632340000
FEES,D,18/10/12,000000,0.2359800,0.2395000,0.2324300,0.2327300,3322390000
FEES,D,19/10/12,000000,0.2325900,0.2334900,0.2295000,0.2305100,957120000
FEES,D,22/10/12,000000,0.2280000,0.2325000,0.2260500,0.2317500,1154820000
FEES,D,23/10/12,000000,0.2317000,0.2327000,0.2240000,0.2246400,1557240000
FEES,D,24/10/12,000000,0.2257700,0.2265900,0.2174000,0.2184100,3249910000
FEES,D,25/10/12,000000,0.2181500,0.2195500,0.2095000,0.2120000,2743710000
FEES,D,26/10/12,000000,0.2088000,0.2098000,0.2037000,0.2039500,2799610000
FEES,D,29/10/12,000000,0.2028100,0.2058000,0.1991100,0.2000000,2082460000
FEES,D,30/10/12,000000,0.1994200,0.2093900,0.1975100,0.2079800,4290670000
FEES,D,31/10/12,000000,0.2094000,0.2102300,0.2040000,0.2045600,2136780000
FEES,D,01/11/12,000000,0.2034000,0.2075000,0.1994100,0.2063300,2513020000
FEES,D,02/11/12,000000,0.2073300,0.2084900,0.2040100,0.2048400,3006300000
FEES,D,06/11/12,000000,0.1999100,0.2160000,0.1912100,0.2144600,5198850000
FEES,D,07/11/12,000000,0.2155300,0.2180000,0.2070400,0.2080000,3246190000
FEES,D,08/11/12,000000,0.2029000,0.2080000,0.1982200,0.1990000,2519990000
FEES,D,09/11/12,000000,0.1983100,0.2027000,0.1976300,0.2010000,1912700000
FEES,D,12/11/12,000000,0.2022100,0.2049000,0.1987000,0.2034500,1800540000
FEES,D,13/11/12,000000,0.2005800,0.2016700,0.1946700,0.1953900,1853640000
FEES,D,14/11/12,000000,0.1970000,0.1984900,0.1892000,0.1918500,2096680000
